rmsd_target,rmsd_actual,rep,pdb_file,nll_i_work,nll_i_free,delta_nll_i_work,delta_nll_i_free,nll_f_work,nll_f_free,delta_nll_f_work,delta_nll_f_free,r_work,r_free,r_int_work,r_int_free,cc_work_i,cc_free_i,geom_energy,delta_geom_energy,grad_norm_i,grad_norm_f,cos_sim_i,cos_sim_f
0.25,0.25,30,6czg_rmsd_0.25_rep_30.pdb,0.7634705901145935,0.900385320186615,0.46537110209465027,0.46201562881469727,4.809335708618164,4.9408769607543945,0.4713435173034668,0.46779870986938477,0.4212110421431527,0.4462997662717214,0.6150869610269456,0.6656863999452917,0.8892974346307031,0.8251635749878057,1578026.7206610905,1575869.2410028945,0.08340067007328969,0.08543864925318799,0.5353471084629141,0.5372713230921473
0.25,0.25,31,6czg_rmsd_0.25_rep_31.pdb,0.7550607919692993,0.8470636606216431,0.4569613039493561,0.40869396924972534,4.801598072052002,4.8891167640686035,0.4636058807373047,0.41603851318359375,0.41541668631273937,0.4422472818194274,0.5928476128536921,0.6365162980022299,0.8895250563492816,0.814106955317562,1590818.1170743732,1588660.6374161772,0.08327128156931364,0.08482750192130853,0.5521819054201461,0.5534737077261879
0.25,0.25,32,6czg_rmsd_0.25_rep_32.pdb,0.7221380472183228,0.855998694896698,0.4240385591983795,0.4176290035247803,4.7659454345703125,4.895484924316406,0.42795324325561523,0.4224066734313965,0.412271318486152,0.4372319166282632,0.5974907810249321,0.6370236481388473,0.8934839345133538,0.8534728245669045,1573716.118047671,1571558.638389475,0.08012163164178439,0.08134470907008358,0.5274207657085829,0.528021412435502
0.25,0.25,33,6czg_rmsd_0.25_rep_33.pdb,0.7605191469192505,0.8382974863052368,0.46241965889930725,0.3999277949333191,4.805170059204102,4.884378910064697,0.4671778678894043,0.4113006591796875,0.4211615493834263,0.44360078677253034,0.6157894974855342,0.6603201127912114,0.8848760712214583,0.831309965671055,1609296.874302138,1607139.3946439421,0.0833346129187577,0.08459858678726105,0.5245393862869063,0.5267205048179237
0.25,0.24999999999999994,34,6czg_rmsd_0.25_rep_34.pdb,0.7353283166885376,0.8790349960327148,0.43722882866859436,0.4406653046607971,4.779781818389893,4.931341171264648,0.4417896270751953,0.45826292037963867,0.41401368606579037,0.45234800963582344,0.6018917736943288,0.6778940042334536,0.8905647065014544,0.8362623067554189,1656983.8605946728,1654826.3809364769,0.08081994375371458,0.08236590149471225,0.5269122248041093,0.5276327815177988
0.25,0.25,35,6czg_rmsd_0.25_rep_35.pdb,0.7582038044929504,0.8642906546592712,0.4601043164730072,0.4259209632873535,4.80417537689209,4.909978866577148,0.4661831855773926,0.43690061569213867,0.41721340475839636,0.45131247601761587,0.603548756133583,0.6477998270704832,0.8942378882655024,0.8261839784098017,1558147.8551408541,1555990.3754826582,0.08135929247407493,0.08304975635746004,0.5421741995911251,0.5442846007707108
0.25,0.24999999999999994,36,6czg_rmsd_0.25_rep_36.pdb,0.757366955280304,0.8281383514404297,0.4592674672603607,0.38976866006851196,4.802578449249268,4.873170375823975,0.4645862579345703,0.40009212493896484,0.41495679918117084,0.4302375914156184,0.602551211695417,0.6180499752171834,0.8840028390662501,0.8549357834453587,1645983.710098534,1643826.230440338,0.08166806436696494,0.08337413228347994,0.5437032140981272,0.5454552879829808
0.25,0.24999999999999997,37,6czg_rmsd_0.25_rep_37.pdb,0.7515710592269897,0.8833826780319214,0.4534715712070465,0.44501298666000366,4.796151638031006,4.920870304107666,0.4581594467163086,0.44779205322265625,0.4193439339719633,0.45108092464564287,0.6075135050787155,0.6513191944956684,0.8893963360770449,0.8400895360760189,1574114.556990787,1571957.077332591,0.08151855426080501,0.08287404572443632,0.527380656542602,0.5285774470686727
0.25,0.24999999999999994,38,6czg_rmsd_0.25_rep_38.pdb,0.7596898674964905,0.8203626871109009,0.46159037947654724,0.38199299573898315,4.80588436126709,4.87156867980957,0.4678921699523926,0.39849042892456055,0.4225609531344776,0.44227635258685377,0.6228351862283965,0.6613396853637171,0.8790283362377084,0.8108912608426172,1605026.6953551483,1602869.2156969523,0.08114071637580422,0.08281391257692784,0.5538314096875172,0.5553534150210828
0.25,0.24999999999999997,39,6czg_rmsd_0.25_rep_39.pdb,0.7287992238998413,0.90309739112854,0.43069973587989807,0.4647276997566223,4.773342132568359,4.951540470123291,0.4353499412536621,0.47846221923828125,0.4110054426123048,0.44716704270411795,0.600900168735624,0.6554425268456305,0.8948710857912485,0.8276431687719462,1593140.8303208153,1590983.3506626193,0.08130565846596081,0.08257948121710687,0.5177145372662474,0.5195451168154646
0.25,0.25,40,6czg_rmsd_0.25_rep_40.pdb,0.7502290606498718,0.8376981616020203,0.4521295726299286,0.39932847023010254,4.7945556640625,4.883701324462891,0.45656347274780273,0.41062307357788086,0.4188303634321684,0.4431808016039549,0.6136383102738755,0.6574023114189417,0.886353226661445,0.8232489545050762,1538422.2078418846,1536264.7281836886,0.07992289597124236,0.0811298377326546,0.5401454525886316,0.5412740969814036
0.25,0.25,41,6czg_rmsd_0.25_rep_41.pdb,0.7619319558143616,0.8173450827598572,0.46383246779441833,0.37897539138793945,4.806397914886475,4.858622074127197,0.46840572357177734,0.3855438232421875,0.4236005426034486,0.42949368534441024,0.606421800789013,0.6206199815166751,0.8932744603145077,0.8597579443688731,1587551.8841532816,1585394.4044950856,0.08310469054207659,0.08423844843044548,0.5442974442794307,0.5457817694151706
0.25,0.24999999999999994,42,6czg_rmsd_0.25_rep_42.pdb,0.7791242003440857,0.8781994581222534,0.48102471232414246,0.4398297667503357,4.823188781738281,4.916378021240234,0.485196590423584,0.4432997703552246,0.4242959913398595,0.4427395907171878,0.6142777824293365,0.6317664040625894,0.8890886983496625,0.8523742487112975,1598606.4797668797,1596449.0001086837,0.08678264179137221,0.08834070001790725,0.5265668075599764,0.5281129782200039
0.25,0.25,43,6czg_rmsd_0.25_rep_43.pdb,0.7527803182601929,0.8999243974685669,0.45468083024024963,0.46155470609664917,4.798656463623047,4.949582576751709,0.4606642723083496,0.4765043258666992,0.4149817673421634,0.44986279606851975,0.6027024329083815,0.6648555686149362,0.8912901553275882,0.8275285050239815,1630398.0868042803,1628240.6071460843,0.0813983563525309,0.0827163469219708,0.5247572898000633,0.5262844184663046
0.25,0.24999999999999997,44,6czg_rmsd_0.25_rep_44.pdb,0.7302635908126831,0.8638850450515747,0.43216410279273987,0.425515353679657,4.775551795959473,4.90273904800415,0.4375596046447754,0.4296607971191406,0.41415618322503556,0.4409991911571598,0.607567852042229,0.629097283863708,0.8923234238527689,0.8697265469430548,1596697.151569827,1594539.671911631,0.07797508908548229,0.07969597817076038,0.5183749007902355,0.5175780290684265
0.25,0.25,45,6czg_rmsd_0.25_rep_45.pdb,0.7353508472442627,0.8234106302261353,0.43725135922431946,0.38504093885421753,4.780373573303223,4.8649067878723145,0.4423813819885254,0.3918285369873047,0.4141949970010183,0.4398917848138,0.5995503560060785,0.6242295779020167,0.890711061496804,0.8665247767971278,1548373.1519540863,1546215.6722958903,0.07909836453065949,0.08043620056880937,0.5313174727438692,0.5331355124133008
0.25,0.25,46,6czg_rmsd_0.25_rep_46.pdb,0.7593094706535339,0.7960694432258606,0.4612099826335907,0.35769975185394287,4.805093288421631,4.835747718811035,0.4671010971069336,0.3626694679260254,0.4193073449480808,0.4232355156488089,0.6071165919237892,0.6164403192656575,0.8893350255227194,0.8440016404718755,1542011.9567802255,1539854.4771220295,0.0816770421231067,0.08335843086402936,0.5201805293044502,0.5234161802132906
0.25,0.25,47,6czg_rmsd_0.25_rep_47.pdb,0.7600882053375244,0.8714495301246643,0.4619887173175812,0.4330798387527466,4.806650161743164,4.913976669311523,0.4686579704284668,0.44089841842651367,0.42152456304012875,0.4381666890998563,0.6082740584682031,0.6298656727993479,0.8952048529528167,0.8516195539219195,1582780.8394676775,1580623.3598094815,0.08438479683608936,0.08625783362227783,0.5245829238399446,0.526801902679672
0.25,0.25,48,6czg_rmsd_0.25_rep_48.pdb,0.7588189244270325,0.9417182207107544,0.46071943640708923,0.5033485293388367,4.804145812988281,4.981484413146973,0.466153621673584,0.5084061622619629,0.42213293630722915,0.47079999257125565,0.6170082183517844,0.6952381709832103,0.8842477600920461,0.8235575584390721,1503124.3764851291,1500966.8968269331,0.08217424097489805,0.08345450288118103,0.5355841593820923,0.5376756900351013
0.25,0.25,49,6czg_rmsd_0.25_rep_49.pdb,0.7615470290184021,0.8618919253349304,0.46344754099845886,0.4235222339630127,4.806424617767334,4.906750202178955,0.4684324264526367,0.4336719512939453,0.4178962183695098,0.44271700803936764,0.6039640879706999,0.6714831069135857,0.895664767892014,0.8177663003948625,1529700.4597663393,1527542.9801081433,0.08082994943568708,0.0824252554808025,0.5362948524376382,0.5365064180917144
